11/1/2021 13:43:24 [Database connection successful]
11/1/2021 13:43:24 [Express listening on port 3040]
11/1/2021 13:46:17 [Request POST] <Customers: Login Customer>
11/1/2021 13:46:19 [Request GET] <Customers: Get All Customers>
11/1/2021 13:46:19 [Request GET] <Logs: Get All>
11/1/2021 13:46:23 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:2:57 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:2:57 [Request GET] <Logs: Get All>
11/1/2021 14:2:57 [Request GET] <Customers: Get All Customers>
11/1/2021 14:4:17 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:4:45 [Request POST] <Reservations: Add Reservation>
11/1/2021 14:4:45 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:4:52 [Request POST] <Reservations: Delete Reservation>
11/1/2021 14:4:52 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:8:43 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:12:13 [Request GET] <Logs: Get All>
11/1/2021 14:12:13 [Request GET] <Customers: Get All Customers>
11/1/2021 14:12:29 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:12:41 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:13:17 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:13:30 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:13:46 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:14:40 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:16:15 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:30:35 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:34:19 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:34:56 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:35:12 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:37:26 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:37:28 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:38:54 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:39:11 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:39:18 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:39:26 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:39:36 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:41:53 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:41:59 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:43:1 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:43:16 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:44:24 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:45:14 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:45:23 [Request GET] <Reservations: Get All Reservations>
11/1/2021 14:47:38 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:0:11 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:1:45 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:3:26 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:3:29 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:3:43 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:4:21 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:4:23 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:4:25 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:4:43 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:4:44 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:5:5 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:8:28 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:10:34 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:13:49 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:14:17 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:14:19 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:14:20 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:14:32 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:14:33 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:14:39 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:14:40 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:15:37 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:15:38 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:15:39 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:16:35 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:16:36 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:16:39 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:16:40 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:34 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:35 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:37 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:38 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:39 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:40 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:42 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:17:43 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:18:1 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:18:2 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:18:35 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:18:36 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:15 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:16 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:18 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:19 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:22 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:23 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:24 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:19:25 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:42 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:44 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:45 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:46 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:48 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:49 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:51 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:52 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:53 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:54 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:55 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:56 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:58 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:21:59 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:0 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:7 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:7 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:9 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:13 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:14 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:18 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:20 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:27 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:28 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:47 [Request GET] <Logs: Get All>
11/1/2021 15:22:47 [Request GET] <Customers: Get All Customers>
11/1/2021 15:22:50 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:52 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:54 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:55 [Request GET] <Logs: Get All>
11/1/2021 15:22:55 [Request GET] <Customers: Get All Customers>
11/1/2021 15:22:57 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:22:59 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:23:3 [Request GET] <Logs: Get All>
11/1/2021 15:23:3 [Request GET] <Customers: Get All Customers>
11/1/2021 15:23:4 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:23:5 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:23:8 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:23:9 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:23:41 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:23:43 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:23:59 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:1 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:4 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:5 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:9 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:10 [Request GET] <Logs: Get All>
11/1/2021 15:24:10 [Request GET] <Customers: Get All Customers>
11/1/2021 15:24:13 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:15 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:16 [Request GET] <Logs: Get All>
11/1/2021 15:24:16 [Request GET] <Customers: Get All Customers>
11/1/2021 15:24:21 [Request GET] <Logs: Get All>
11/1/2021 15:24:21 [Request GET] <Customers: Get All Customers>
11/1/2021 15:24:22 [Request GET] <Customers: Get All Customers>
11/1/2021 15:24:22 [Request GET] <Logs: Get All>
11/1/2021 15:24:23 [Request GET] <Customers: Get All Customers>
11/1/2021 15:24:23 [Request GET] <Logs: Get All>
11/1/2021 15:24:26 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:27 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:31 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:24:33 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:25:59 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:26:34 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:26:50 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:27:32 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:27:56 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:28:41 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:28:42 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:0 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:0 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:2 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:11 [Request POST] <Reservations: Add Reservation>
11/1/2021 15:29:11 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:21 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:25 [Request POST] <Reservations: Add Reservation>
11/1/2021 15:29:25 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:28 [Request POST] <Reservations: Delete Reservation>
11/1/2021 15:29:28 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:35 [Request POST] <Reservations: Add Reservation>
11/1/2021 15:29:35 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:37 [Request POST] <Reservations: Delete Reservation>
11/1/2021 15:29:37 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:39 [Request POST] <Reservations: Add Reservation>
11/1/2021 15:29:39 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:41 [Request POST] <Reservations: Delete Reservation>
11/1/2021 15:29:41 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:43 [Request POST] <Reservations: Add Reservation>
11/1/2021 15:29:43 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:44 [Request POST] <Reservations: Delete Reservation>
11/1/2021 15:29:45 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:46 [Request POST] <Reservations: Add Reservation>
11/1/2021 15:29:46 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:47 [Request POST] <Reservations: Delete Reservation>
11/1/2021 15:29:47 [Request GET] <Reservations: Get All Reservations>
11/1/2021 15:29:51 [Request POST] <Reservations: Add Reservation>
